categoria,pregunta,respuesta_correcta,opcion_1,opcion_2,opcion_3
"Peliculas y Series","¿Cuál es el nombre del lema de la Casa Stark en 'Juego de Tronos'?","Se acerca el invierno","Oye mi rugido","Fuego y sangre","Nosotros no sembramos"
"Peliculas y Series","¿En qué película de Disney un león joven debe reclamar su lugar como rey?","El Rey León","La Bella y la Bestia","Aladdín","Hércules"
"Peliculas y Series","¿Qué director es famoso por sus películas de gángsters como 'Buenos Muchachos' y 'Casino'?","Martin Scorsese","Francis Ford Coppola","Brian De Palma","Sergio Leone"
"Peliculas y Series","En la serie 'Okupas', ¿cuál es el nombre del personaje principal interpretado por Rodrigo de la Serna?","Ricardo","El Pollo","Walter","El Chiqui"
"Peliculas y Series","¿Qué película de 1999 presenta a un programador que descubre que su realidad es una simulación?","The Matrix","El Piso 13","eXistenZ","Dark City"
"Peliculas y Series","¿Cuál es el nombre del personaje de Bryan Cranston en 'Breaking Bad'?","Walter White","Jesse Pinkman","Saul Goodman","Gustavo Fring"
"Peliculas y Series","¿Qué película animada de Studio Ghibli trata sobre dos hermanas que se encuentran con espíritus del bosque?","Mi vecino Totoro","El viaje de Chihiro","La princesa Mononoke","El castillo ambulante"
"Peliculas y Series","En la película 'Casablanca', ¿cuál es el nombre del pianista del Rick's Café?","Sam","Rick","Louis","Victor"
"Peliculas y Series","¿Qué serie de comedia sigue las vidas de los empleados de la papelera Dunder Mifflin?","The Office","Parks and Recreation","30 Rock","Arrested Development"
"Peliculas y Series","¿Cuál es el nombre del villano en la película 'El Silencio de los Inocentes' que no es Hannibal Lecter?","Buffalo Bill","Jame Gumb","Francis Dolarhyde","Red Dragon"
"Peliculas y Series","¿Qué película de 2014 dirigida por Damián Szifron se compone de seis historias de venganza y violencia?","Relatos Salvajes","El Clan","La Odisea de los Giles","Carancho"
"Peliculas y Series","En 'Star Wars', ¿quién es el maestro Jedi que entrena a Luke Skywalker en el planeta Dagobah?","Yoda","Obi-Wan Kenobi","Mace Windu","Qui-Gon Jinn"
"Peliculas y Series","¿Qué serie de HBO es una sátira sobre la política estadounidense centrada en la vicepresidenta Selina Meyer?","Veep","House of Cards","The West Wing","Scandal"
"Peliculas y Series","¿Qué película de Guillermo del Toro ganó el Oscar a Mejor Película en 2018?","La Forma del Agua","El Laberinto del Fauno","El Espinazo del Diablo","La Cumbre Escarlata"
"Peliculas y Series","¿Cuál es el nombre del protagonista de la serie de anime 'Dragon Ball Z'?","Goku","Vegeta","Gohan","Piccolo"
"Peliculas y Series","En la película 'Rocky', ¿quién es el principal oponente de Rocky Balboa en el ring?","Apollo Creed","Clubber Lang","Ivan Drago","Mason Dixon"
"Peliculas y Series","¿Qué serie de televisión de los 90 se centraba en dos agentes del FBI que investigaban casos paranormales?","Los Expedientes Secretos X (The X-Files)","Twin Peaks","Buffy la Cazavampiros","Dimensión Desconocida"
"Peliculas y Series","¿Cuál de estas películas NO fue dirigida por Tim Burton?","E.T. el Extraterrestre","El joven manos de tijera","Beetlejuice","El gran pez"
"Peliculas y Series","En la serie 'Los Simuladores', ¿cuál era el lema del equipo?","Usted tiene un problema, nosotros tenemos la solución","Justicia por mano propia","Servicios de inteligencia","El pez por la boca muere"
"Peliculas y Series","¿Qué película de Pixar trata sobre las emociones que viven dentro de la cabeza de una niña?","Intensa-Mente (Inside Out)","Coco","Up: una aventura de altura","WALL-E"
"Peliculas y Series","¿Cuál es el nombre del asesino en la saga de películas de terror 'Viernes 13'?","Jason Voorhees","Freddy Krueger","Michael Myers","Leatherface"
"Peliculas y Series","En la serie 'Mad Men', ¿en qué industria trabaja el protagonista Don Draper?","Publicidad","Finanzas","Periodismo","Leyes"
"Peliculas y Series","¿Qué película de 1977 inició la popular saga de ciencia ficción espacial?","Star Wars: Episodio IV - Una nueva esperanza","Star Trek: La película","Alien: el octavo pasajero","Encuentros cercanos del tercer tipo"
"Peliculas y Series","¿Cuál es el nombre del personaje de Arnold Schwarzenegger en la saga 'Terminator'?","El Terminator (T-800)","John Connor","Kyle Reese","T-1000"
"Peliculas y Series","¿Qué serie sigue a un grupo de sobrevivientes de un apocalipsis zombi en Atlanta?","The Walking Dead","Z Nation","Black Summer","Fear the Walking Dead"
"Peliculas y Series","¿En qué película de los hermanos Coen un jugador de bolos desempleado se ve envuelto en un caso de secuestro?","El Gran Lebowski","Fargo","Sin lugar para los débiles","O Brother, Where Art Thou?"
"Peliculas y Series","¿Cuál es el nombre del leal amigo de Harry Potter, conocido por su pelo rojo?","Ron Weasley","Hermione Granger","Draco Malfoy","Neville Longbottom"
"Peliculas y Series","¿Qué película de 2019 de Todd Phillips explora el origen del archienemigo de Batman?","Joker","El Caballero de la Noche","Batman Inicia","El Acertijo"
"Peliculas y Series","En la serie 'How I Met Your Mother', ¿cuál es la frase célebre de Barney Stinson?","Legen... wait for it... dary!","How you doin'?","Bazinga!","What's up, doc?"
"Peliculas y Series","¿Qué director japonés es famoso por películas como 'Los Siete Samuráis' y 'Rashomon'?","Akira Kurosawa","Yasujiro Ozu","Kenji Mizoguchi","Hayao Miyazaki"
"Peliculas y Series","¿Cuál es el nombre del personaje principal en la saga 'Indiana Jones'?","Indiana Jones","Sallah","Marcus Brody","Marion Ravenwood"
"Peliculas y Series","¿Qué serie de Netflix está basada en la vida de la narcotraficante Griselda Blanco?","Griselda","Narcos","El Chapo","La Reina del Sur"
"Peliculas y Series","En la película 'El Club de los Poetas Muertos', ¿qué frase utiliza el profesor John Keating para inspirar a sus alumnos?","Carpe Diem (Aprovecha el día)","Oh capitán, mi capitán","Conócete a ti mismo","La vida sin examen no merece la pena"
"Peliculas y Series","¿Qué actor interpreta a Forrest Gump?","Tom Hanks","Robin Williams","John Travolta","Tim Allen"
"Peliculas y Series","¿Cuál es el nombre de la serie de televisión sobre un antihéroe que es un asesino en serie de asesinos?","Dexter","Hannibal","Mindhunter","True Detective"
"Peliculas y Series","¿En qué película animada un pez payaso busca a su hijo perdido a través del océano?","Buscando a Nemo","La Sirenita","Buscando a Dory","El Espanta Tiburones"
"Peliculas y Series","¿Cuál es el nombre de la droga azul que producen Walter White y Jesse Pinkman en 'Breaking Bad'?","Blue Sky","Crystal Blue","Ice","Blue Magic"
"Peliculas y Series","¿Qué película de Wes Anderson se caracteriza por su simetría visual y una paleta de colores distintiva?","El Gran Hotel Budapest","Isla de Perros","Los excéntricos Tenenbaum","Moonrise Kingdom"
"Peliculas y Series","En la serie 'Succession', ¿de qué familia multimillonaria se trata la trama?","La familia Roy","La familia Lannister","La familia Bluth","La familia Soprano"
"Peliculas y Series","¿Qué película de ciencia ficción de 2010 presenta a Leonardo DiCaprio como un ladrón que roba información infiltrándose en los sueños?","Inception (El Origen)","Shutter Island","Django sin cadenas","El Aviador"
"Peliculas y Series","¿Cuál es el nombre de la serie animada para adultos que sigue las aventuras de un científico loco y su nieto?","Rick y Morty","BoJack Horseman","Archer","South Park"
"Peliculas y Series","¿Qué actor interpreta al personaje principal, 'El Dude', en 'El Gran Lebowski'?","Jeff Bridges","John Goodman","Steve Buscemi","John Turturro"
"Peliculas y Series","¿En qué película un joven león es engañado por su tío para que crea que causó la muerte de su padre?","El Rey León","Bambi","El libro de la selva","Tarzán"
"Peliculas y Series","¿Cuál es el nombre de la protagonista de la saga 'Los Juegos del Hambre'?","Katniss Everdeen","Hermione Granger","Tris Prior","Bella Swan"
"Peliculas y Series","¿Qué director es conocido como el 'maestro del suspenso'?","Alfred Hitchcock","David Lynch","M. Night Shyamalan","John Carpenter"
"Peliculas y Series","En la película 'El Viaje de Chihiro' de Studio Ghibli, ¿en qué se convierten los padres de Chihiro al principio?","En cerdos","En dragones","En estatuas","En fantasmas"
"Peliculas y Series","¿Qué serie de televisión sigue a un grupo de amigos que viven en un apartamento en el barrio de Palermo en Buenos Aires?","Okupas","Los Simuladores","Casados con Hijos","El Marginal"
"Peliculas y Series","¿Cuál es la famosa frase de Arnold Schwarzenegger en 'Terminator'?","I'll be back (Volveré)","Hasta la vista, baby","Sayonara, baby","Ven conmigo si quieres vivir"
"Peliculas y Series","¿Qué película de David Fincher de 1999 critica la cultura del consumismo?","El Club de la Pelea (Fight Club)","Seven","La Red Social","Zodiaco"
"Peliculas y Series","¿En qué serie de televisión el personaje principal es un publicista de Nueva York en la década de 1960?","Mad Men","Boardwalk Empire","The Sopranos","Breaking Bad"
"Peliculas y Series","¿Cuál es el nombre del actor que interpreta al detective Rust Cohle en la primera temporada de 'True Detective'?","Matthew McConaughey","Woody Harrelson","Colin Farrell","Vince Vaughn"
"Peliculas y Series","¿Qué película de los Monty Python es una sátira de la vida de Jesucristo?","La vida de Brian","Los caballeros de la mesa cuadrada","El sentido de la vida","Se armó la gorda"
"Peliculas y Series","¿Cuál es el nombre del parque temático de dinosaurios en 'Jurassic Park'?","Parque Jurásico (Jurassic Park)","Mundo Jurásico","Isla Nublar","Isla Sorna"
"Peliculas y Series","En la serie 'Cobra Kai', ¿quién es el principal rival de Johnny Lawrence desde su adolescencia?","Daniel LaRusso","John Kreese","Terry Silver","Mike Barnes"
"Historia","¿En qué año cayó el Muro de Berlín?","1989","1987","1991","1990"
"Historia","¿Quién fue el primer emperador romano?","César Augusto","Julio César","Nerón","Calígula"
"Historia","¿Qué civilización construyó Machu Picchu?","Inca","Azteca","Maya","Egipcia"
"Historia","¿En qué país comenzó la Revolución Industrial?","Gran Bretaña","Francia","Alemania","Estados Unidos"
"Historia","¿Quién fue el líder de la Unión Soviética durante la Segunda Guerra Mundial?","Iósif Stalin","Vladimir Lenin","Nikita Jrushchov","Mijaíl Gorbachov"
"Historia","¿Cuál fue la batalla naval que marcó el fin del dominio de Napoleón?","Batalla de Trafalgar","Batalla de Waterloo","Batalla de Stalingrado","Batalla de Actium"
"Historia","¿Quién escribió la Declaración de Independencia de los Estados Unidos?","Thomas Jefferson","George Washington","Benjamin Franklin","John Adams"
"Historia","¿Cómo se llamaban las tres carabelas de Cristóbal Colón en su primer viaje?","La Pinta, la Niña y la Santa María","La Victoria, la Trinidad y la Concepción","El Endeavour, el Beagle y el Mayflower","La Santísima Trinidad, el Princesa y el Pelayo"
"Historia","¿Qué evento marcó el inicio de la Primera Guerra Mundial?","El asesinato del archiduque Francisco Fernando","La invasión de Polonia","El hundimiento del Lusitania","La Revolución Rusa"
"Historia","¿Quién fue el faraón de la Gran Pirámide de Guiza?","Keops","Tutankamón","Ramsés II","Akenatón"
"Historia","¿En qué siglo vivió Leonardo da Vinci?","Siglo XV","Siglo XIV","Siglo XVI","Siglo XIII"
"Historia","¿Qué tratado puso fin a la Primera Guerra Mundial?","Tratado de Versalles","Tratado de Tordesillas","Pacto de Acero","Tratado de Westfalia"
"Historia","¿Qué emperador romano legalizó el cristianismo?","Constantino I","Nerón","Diocleciano","Calígula"
"Historia","¿Qué era la Ruta de la Seda?","Una red de rutas comerciales que conectaba Asia con Europa","Una invasión mongola","Un libro de Marco Polo","Una dinastía china"
"Historia","¿En qué año llegó el hombre a la Luna por primera vez?","1969","1965","1972","1961"
"Historia","¿Qué general cartaginés cruzó los Alpes con elefantes para atacar a Roma?","Aníbal Barca","Escipión el Africano","Julio César","Asdrúbal Barca"
"Historia","¿Cuál fue la principal causa de la Guerra Civil de Estados Unidos?","La esclavitud","Impuestos al té","Disputas fronterizas con Canadá","La elección de George Washington"
"Historia","¿En qué país tuvo lugar la Revolución de Mayo de 1810?","Argentina","México","Perú","Colombia"
"Historia","¿Quién fue el primer hombre en circunnavegar la Tierra?","Juan Sebastián Elcano","Fernando de Magallanes","Vasco da Gama","Cristóbal Colón"
"Historia","¿Qué imperio fue gobernado por Gengis Kan?","Imperio Mongol","Imperio Otomano","Imperio Persa","Imperio Romano"
"Historia","¿Qué evento histórico se conoce como el 'Día D'?","El desembarco de Normandía","El ataque a Pearl Harbor","La caída del Muro de Berlín","La firma del armisticio de la Primera Guerra Mundial"
"Historia","¿Qué filósofo de la Antigua Grecia fue maestro de Alejandro Magno?","Aristóteles","Platón","Sócrates","Diógenes"
"Historia","¿Cuál de estas civilizaciones precolombinas se desarrolló en el actual territorio de México?","Azteca","Inca","Chavín","Muisca"
"Historia","¿Qué era un 'gladiador' en la Antigua Roma?","Un luchador armado que entretenía al público","Un senador romano","Un esclavo de las minas","Un guardia pretoriano"
"Historia","¿Qué conflicto se conoció como la 'Guerra Fría'?","Un estado de tensión entre EE.UU. y la URSS","Una guerra luchada en la Antártida","Una serie de batallas en invierno","Una disputa comercial en el siglo XVIII"
"Historia","¿Quién fue la última reina del Antiguo Egipto?","Cleopatra VII","Nefertiti","Hatshepsut","Nefertari"
"Historia","¿Qué figura histórica es famosa por su frase 'Vine, vi, vencí' (Veni, vidi, vici)?","Julio César","Alejandro Magno","Napoleón Bonaparte","Carlomagno"
"Historia","¿Cuál es el nombre del barco en el que los peregrinos llegaron a América en 1620?","Mayflower","Santa María","Endeavour","Discovery"
"Historia","¿Qué fue la 'Peste Negra' que asoló Europa en el siglo XIV?","Una pandemia de peste bubónica","Una invasión vikinga","Una hambruna generalizada","Una herejía religiosa"
"Historia","¿Quién lideró la Revolución Cubana de 1959?","Fidel Castro","Ernesto 'Che' Guevara","Fulgencio Batista","Camilo Cienfuegos"
"Historia","¿Qué civilización antigua es famosa por sus 'zigurats'?","Sumeria","Egipcia","Griega","China"
"Historia","¿En qué batalla fue derrotado definitivamente Napoleón Bonaparte?","Batalla de Waterloo","Batalla de Austerlitz","Batalla de Borodinó","Batalla de Trafalgar"
"Historia","¿Cuál de los 'Padres Fundadores' de Argentina cruzó los Andes para liberar Chile y Perú?","José de San Martín","Manuel Belgrano","Mariano Moreno","Juan José Castelli"
"Historia","¿Qué fue el Renacimiento?","Un movimiento cultural que se produjo en Europa Occidental","Una reforma religiosa","Un estilo de arquitectura gótica","Una serie de guerras santas"
"Historia","¿Quién fue el primer presidente de los Estados Unidos?","George Washington","Abraham Lincoln","Thomas Jefferson","John F. Kennedy"
"Historia","¿Qué fue la 'Toma de la Bastilla'?","Un evento clave de la Revolución Francesa","La captura de un fuerte en Inglaterra","Un motín de piratas en el Caribe","La rendición de un castillo en Alemania"
"Historia","¿Qué explorador portugués fue el primero en llegar a la India por mar?","Vasco da Gama","Bartolomé Díaz","Pedro Álvares Cabral","Américo Vespucio"
"Historia","¿Quién fue el líder de la Reforma Protestante al publicar sus 95 tesis?","Martín Lutero","Juan Calvino","Enrique VIII","Ulrico Zuinglio"
"Historia","¿Qué era un 'samurái' en el Japón feudal?","Un guerrero de la aristocracia militar","Un monje budista","Un comerciante de seda","Un agricultor de arroz"
"Historia","¿Qué presidente de EE.UU. proclamó la emancipación de los esclavos?","Abraham Lincoln","Andrew Johnson","Ulysses S. Grant","Franklin D. Roosevelt"
"Historia","¿Cuál era la capital del Imperio Bizantino?","Constantinopla","Roma","Atenas","Alejandría"
"Historia","¿Qué evento de 1929 desencadenó la 'Gran Depresión'?","El crac de la Bolsa de Nueva York","El inicio de la Segunda Guerra Mundial","La Ley Seca","La elección de Herbert Hoover"
"Historia","¿Qué reina inglesa fue conocida como la 'Reina Virgen'?","Isabel I","Victoria","María I","Isabel II"
"Historia","¿Qué fue el 'Apartheid'?","Un sistema de segregación racial en Sudáfrica","Un movimiento político en la India","Un tratado de paz en Europa","Un bloque económico en Asia"
"Historia","¿En qué año se disolvió la Unión Soviética?","1991","1989","1993","1985"
"Historia","¿Qué figura histórica lideró el movimiento por los derechos civiles en EE.UU. en los años 60?","Martin Luther King Jr.","Malcolm X","Rosa Parks","John F. Kennedy"
"Historia","¿Cuál era el propósito principal de las Cruzadas?","Recuperar Tierra Santa para el cristianismo","Establecer nuevas rutas comerciales","Explorar el Nuevo Mundo","Luchar contra los vikingos"
"Historia","¿Qué imperio construyó la Gran Muralla China?","Imperio Chino bajo varias dinastías","Imperio Mongol","Imperio Romano","Imperio Persa"
"Historia","¿Quién es conocido como 'El Libertador' de varios países sudamericanos como Venezuela y Colombia?","Simón Bolívar","José de San Martín","Bernardo O'Higgins","Francisco de Miranda"
"Historia","¿Qué fue la 'Guerra de los Cien Años'?","Un conflicto entre Inglaterra y Francia","Un conflicto entre Roma y Cartago","Una guerra civil en Japón","Una guerra entre España y Portugal"
"Historia","¿Qué invención de Johannes Gutenberg revolucionó la comunicación en el siglo XV?","La imprenta de tipos móviles","El telégrafo","El teléfono","La radio"
"Historia","¿Qué ciudad fue sepultada por la erupción del volcán Vesubio en el año 79 d.C.?","Pompeya","Roma","Atenas","Florencia"
"Historia","¿Quién fue el autor del libro 'El Príncipe'?","Nicolás Maquiavelo","Dante Alighieri","Galileo Galilei","Marco Polo"
"Historia","¿Qué presidente argentino es conocido por la frase 'gobernar es poblar'?","Juan Bautista Alberdi","Domingo Faustino Sarmiento","Julio Argentino Roca","Bartolomé Mitre"
"Historia","¿Qué fue el Holocausto?","El genocidio sistemático de judíos europeos por la Alemania nazi","El bombardeo de Hiroshima","La hambruna de Ucrania","El genocidio armenio"
"Historia","¿Qué código de leyes de la antigua Mesopotamia es uno de los más antiguos descifrados?","El Código de Hammurabi","Las Doce Tablas","El Código de Justiniano","La Ley del Talión"
"Historia","¿Quién fue el primer presidente de la Nación Argentina?","Bernardino Rivadavia","Justo José de Urquiza","Bartolomé Mitre","Domingo Faustino Sarmiento"
"Historia","¿Qué evento de 1917 sacó a Rusia de la Primera Guerra Mundial?","La Revolución Rusa","La Batalla de Tannenberg","La muerte del zar Nicolás II","El Tratado de Brest-Litovsk"
"Historia","¿Qué famoso muro fue construido por el Imperio Romano en la actual Gran Bretaña?","El Muro de Adriano","El Muro de Berlín","La Gran Muralla China","El Muro de las Lamentaciones"
"Historia","¿Cuál era el principal objetivo de la alquimia en la Edad Media?","Transmutar metales en oro y encontrar el elixir de la vida","Crear nuevas armas de asedio","Establecer un sistema bancario","Desarrollar la medicina moderna"
"Historia","¿Qué líder sudafricano luchó contra el Apartheid y se convirtió en presidente?","Nelson Mandela","Desmond Tutu","F. W. de Klerk","Thabo Mbeki"
"Historia","¿Cómo se llamaba el ejército de terracota encontrado en la tumba del primer emperador de China?","Guerreros de terracota","Soldados de arcilla","Ejército de Qin Shi Huang","Guardianes de la tumba"
"Historia","¿Qué fue la 'Guerra del Opio'?","Un conflicto entre China y Gran Bretaña por el comercio","Una guerra contra el narcotráfico en Colombia","Una rebelión de agricultores en la India","Una disputa comercial entre Holanda y Portugal"
"Historia","¿Qué batalla de 1066 es fundamental en la historia de Inglaterra?","La Batalla de Hastings","La Batalla de Agincourt","La Batalla de Stamford Bridge","La Batalla de Bosworth Field"
"Historia","¿Qué fue la Ilustración?","Un movimiento intelectual del siglo XVIII que enfatizaba la razón y la ciencia","Un estilo de pintura renacentista","Una reforma educativa en Prusia","La invención de la bombilla eléctrica"
"Historia","¿Cuál fue el resultado de la Guerra de Malvinas en 1982?","Una victoria militar para el Reino Unido","Una victoria militar para Argentina","Un armisticio sin un claro ganador","La intervención de las Naciones Unidas"
"Historia","¿Qué fue la 'Ruta subterránea' (Underground Railroad) en Estados Unidos?","Una red de rutas secretas para ayudar a los esclavos a escapar hacia la libertad","Un sistema de metro en Nueva York","Una red de espionaje durante la Guerra Civil","Un túnel secreto bajo la Casa Blanca"
"Historia","¿Qué imperio fue el sucesor del Imperio Romano de Oriente?","El Imperio Bizantino","El Sacro Imperio Romano Germánico","El Imperio Otomano","El Califato Abasí"
"Historia","¿Quién fue Juana de Arco?","Una joven campesina francesa que lideró al ejército contra los ingleses","Una reina de Inglaterra","Una santa patrona de Italia","Una espía durante la Guerra de los Cien Años"
"Historia","¿Qué es la 'Piedra de Rosetta'?","Una estela que permitió descifrar los jeroglíficos egipcios","Una joya de la corona británica","El meteorito que extinguió a los dinosaurios","Una herramienta prehistórica"
"Historia","¿Cuál fue la 'Revolución Gloriosa' de 1688?","La deposición incruenta del rey Jacobo II de Inglaterra","La Revolución Francesa","La independencia de Estados Unidos","La unificación de Alemania"
"Historia","¿Qué presidente de EE.UU. estuvo implicado en el 'escándalo de Watergate'?","Richard Nixon","John F. Kennedy","Ronald Reagan","Bill Clinton"
"Historia","¿Qué fue la 'Conquista del Desierto' en Argentina?","Una campaña militar para extender el control sobre la Patagonia","La búsqueda de una ciudad de oro","Un proyecto de irrigación","Una expedición científica"
"Historia","¿Qué significa el término 'Guerra de Guerrillas'?","Una táctica de combate que utiliza pequeños grupos móviles y ataques sorpresa","Una guerra entre gorilas","Una batalla naval a gran escala","Una guerra de trincheras"
"Historia","¿Quién fue el primer europeo en llegar a lo que hoy es Brasil?","Pedro Álvares Cabral","Américo Vespucio","Vicente Yáñez Pinzón","Juan Díaz de Solís"
"Historia","¿Qué fue la 'Prohibición' o 'Ley Seca' en Estados Unidos?","Un período en el que la venta de alcohol era ilegal","La prohibición de la esclavitud","La censura de libros","La prohibición del voto femenino"
"Historia","¿Qué civilización desarrolló la escritura cuneiforme?","Los sumerios","Los egipcios","Los fenicios","Los griegos"
"Historia","¿Cuál era el nombre del plan económico de EE.UU. para reconstruir Europa tras la Segunda Guerra Mundial?","El Plan Marshall","La Doctrina Truman","El New Deal","El Plan de los Catorce Puntos"
"Historia","¿Quién fue el líder de la Revolución Haitiana, la única revuelta de esclavos exitosa?","Toussaint Louverture","Jean-Jacques Dessalines","Henri Christophe","Alexandre Pétion"
"Historia","¿Qué fue la 'Guerra de los Pasteles'?","Un conflicto entre México y Francia","Una rebelión de panaderos en París","Una disputa comercial por el azúcar","Una sátira política"
"Historia","¿Qué explorador vikingo se cree que llegó a América del Norte siglos antes que Colón?","Leif Erikson","Erik el Rojo","Ragnar Lodbrok","Ivar el Deshuesado"
"Historia","¿Qué movimiento artístico y cultural se originó en Harlem, Nueva York, en la década de 1920?","El Renacimiento de Harlem","El Movimiento por los Derechos Civiles","La Generación Beat","El surgimiento del Jazz"
"Historia","¿Cuál era el título del gobernante en el Imperio Otomano?","Sultán","Zar","Emperador","Sha"
"Historia","¿Qué fue el 'Juramento del Juego de Pelota' durante la Revolución Francesa?","Un compromiso de los diputados del Tercer Estado de no separarse hasta crear una constitución","Un torneo deportivo para la aristocracia","Un pacto secreto para derrocar al rey","Una ceremonia de inauguración"
"Historia","¿Qué batalla se considera el punto de inflexión de la Guerra Civil Estadounidense?","La Batalla de Gettysburg","La Batalla de Antietam","La Batalla de Vicksburg","La Primera Batalla de Bull Run"
"Historia","¿Quién fue el primer Primer Ministro de la India tras su independencia?","Jawaharlal Nehru","Mahatma Gandhi","Indira Gandhi","Sardar Patel"
"Historia","¿Qué fue la 'Guerra de la Triple Alianza'?","Un conflicto sudamericano que enfrentó a Paraguay contra Argentina, Brasil y Uruguay","Una guerra entre España, Francia e Inglaterra","La unión de tres casas reales europeas","Una alianza en la Primera Guerra Mundial"
"Historia","¿Qué figura religiosa es central para el Islam?","Mahoma","Abraham","Moisés","Jesús"
"Historia","¿Qué fue la 'Primavera de Praga' de 1968?","Un período de liberalización política en Checoslovaquia","Un festival de música en la República Checa","Una revuelta estudiantil en Francia","Un movimiento artístico en Austria"
"Historia","¿Qué producto era el más valioso en el comercio transahariano en la Edad Media?","Sal y oro","Especias y seda","Armas y caballos","Esclavos y marfil"
"Historia","¿Quién fue el autor de la 'Utopía', un libro que describe una sociedad ideal?","Tomás Moro","Erasmo de Róterdam","John Locke","Jean-Jacques Rousseau"
"Historia","¿Qué fue el 'Incendio del Reichstag' en 1933?","El incendio del edificio del parlamento alemán en Berlín","Un bombardeo aliado sobre Alemania","Una quema de libros por los nazis","Una rebelión popular"
"Historia","¿Qué evento es conocido como 'La Noche de los Cristales Rotos'?","Un pogromo contra los judíos en la Alemania nazi","La caída del Muro de Berlín","La celebración del fin de la guerra","Una noche de bombardeos intensos"
"Historia","¿Cuál era la principal función de un 'vasallo' en el sistema feudal?","Servir militarmente a un señor a cambio de tierras","Cultivar las tierras del rey","Administrar justicia en un feudo","Recaudar impuestos para la Iglesia"
"Historia","¿Qué famosa batalla de 480 a.C. enfrentó a un pequeño grupo de espartanos contra un ejército persa mucho mayor?","La Batalla de las Termópilas","La Batalla de Maratón","La Batalla de Salamina","La Batalla de Platea"
"Historia","¿Qué fue el 'Proyecto Manhattan'?","El proyecto de investigación y desarrollo de EE.UU. que produjo las primeras bombas atómicas","Un plan para construir una base en la Luna","Un programa de espionaje en la Guerra Fría","Un proyecto de urbanismo para Nueva York"
"Historia","¿Qué líder político llevó a cabo la 'Revolución Cultural' en China?","Mao Zedong","Deng Xiaoping","Chiang Kai-shek","Sun Yat-sen"
"Historia","¿En qué consistió la 'Crisis de los misiles de Cuba'?","Un enfrentamiento entre EE.UU. y la URSS por la instalación de misiles nucleares en Cuba","Un intento de invasión de Cuba por parte de EE.UU.","Una guerra civil en Cuba","Un bloqueo naval de la isla"
"Historia","¿Quién fue la primera mujer en volar sola a través del Océano Atlántico?","Amelia Earhart","Bessie Coleman","Harriet Quimby","Jacqueline Cochran"
"Historia","¿Qué fue la 'Compañía de las Indias Orientales'?","Una poderosa compañía comercial inglesa (y holandesa) que operaba en Asia","Una empresa de exploración española","Una flota de barcos piratas","Una orden religiosa de misioneros"
"Historia","¿Qué fue el 'Telón de Acero' o 'Cortina de Hierro'?","La frontera política e ideológica que dividía Europa durante la Guerra Fría","Una línea de defensa militar en Francia","Una obra de teatro de Bertolt Brecht","Una barrera de hielo en el Ártico"
"Historia","¿Qué presidente argentino tuvo dos mandatos consecutivos entre 1989 y 1999?","Carlos Menem","Raúl Alfonsín","Fernando de la Rúa","Néstor Kirchner"
"Historia","¿Cuál fue la dinastía que gobernó Rusia durante más de 300 años hasta la revolución de 1917?","La dinastía Romanov","La dinastía Rúrika","La dinastía Borbón","La dinastía de los Zares"
"Historia","¿Qué fue la 'Guerra de Vietnam'?","Un conflicto bélico entre Vietnam del Norte y Vietnam del Sur, con intervención de EE.UU.","Una guerra de independencia contra Francia","Una guerra civil entre facciones vietnamitas","Una invasión de China a Vietnam"
"Historia","¿Qué es el 'Período Meiji' en la historia de Japón?","La época de modernización y occidentalización de Japón","El período de los samuráis","La era de los shogunes","El período de aislamiento del país"
"Historia","¿Quién fue el líder de los Jemeres Rojos en Camboya?","Pol Pot","Ho Chi Minh","Mao Zedong","Kim Il-sung"
"Historia","¿Qué fue la 'Reconquista' en la Península Ibérica?","El proceso por el cual los reinos cristianos recuperaron el territorio de manos musulmanas","La conquista romana de Hispania","La invasión napoleónica de España","La unificación de España y Portugal"
"Historia","¿Qué era un 'siervo de la gleba' en la Edad Media?","Un campesino atado a la tierra que trabajaba, no un esclavo personal","Un soldado de bajo rango","Un monje copista","Un artesano de un gremio"
"Historia","¿Qué batalla de 1415 es famosa por la victoria de los arqueros ingleses sobre la caballería francesa?","La Batalla de Agincourt","La Batalla de Crécy","La Batalla de Poitiers","La Batalla de Orleans"
"Historia","¿Qué fue la 'Doctrina Monroe'?","Una política de EE.UU. que se oponía al colonialismo europeo en las Américas","Un plan para comprar Alaska","Una ley de derechos civiles","Una estrategia militar en la Guerra de 1812"
"Historia","¿Qué civilización mesoamericana es conocida por sus colosales cabezas de piedra?","La civilización Olmeca","La civilización Zapoteca","La civilización Tolteca","La civilización Teotihuacana"
"Historia","¿Quién fue el primer canciller de la Alemania unificada en 1871?","Otto von Bismarck","Kaiser Guillermo I","Helmut Kohl","Konrad Adenauer"
"Historia","¿Qué fue el 'motín del té' de Boston?","Un acto de protesta de los colonos americanos contra los impuestos británicos","Una fiesta organizada por la realeza","Una disputa entre comerciantes de té","Un naufragio de un barco cargado de té"
"Historia","¿Qué era la 'Liga Hanseática' en el norte de Europa durante la Baja Edad Media?","Una federación comercial y defensiva de ciudades","Un tipo de barco vikingo","Una orden de caballeros teutónicos","Un gremio de artesanos"
